WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.1640846 -7.8266798)",POINT (110.1640846 -7.8266798),15320.0,140.0,Kabupaten Kulon Progo,34010.0,20.0,-7.8266798,110.1640846,10.0
"POINT (110.3341111 -7.8846111)",POINT (110.3341111 -7.8846111),15330.0,140.0,Kabupaten Bantul,34020.0,20.0,-7.8846111,110.3341111,10.0
"POINT (110.6168921 -8.0305091)",POINT (110.6168921 -8.0305091),15340.0,140.0,Kabupaten Gunung Kidul,34030.0,20.0,-8.0305091,110.6168921,10.0
"POINT (110.368797 -7.797224)",POINT (110.368797 -7.797224),15360.0,140.0,Kota Yogyakarta,34710.0,20.0,-7.797224,110.368797,10.0
