WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.5071982 -5.7985266)",POINT (106.5071982 -5.7985266),14650.0,110.0,Kabupaten Kepulauan Seribu,31010.0,20.0,-5.7985266,106.5071982,10.0
"POINT (106.8092893 -6.2633568)",POINT (106.807915 -6.332973),14660.0,110.0,Kota Jakarta Selatan,31740.0,20.0,-6.2633568,106.8092893,10.0
"POINT (106.9021635 -6.2258791)",POINT (106.900377 -6.226499),14670.0,110.0,Kota Jakarta Timur,31750.0,20.0,-6.2258791,106.9021635,10.0
"POINT (106.8293791 -6.2006218)",POINT (106.826387 -6.1779824),14680.0,110.0,Kota Jakarta Pusat,31710.0,20.0,-6.2006218,106.8293791,10.0
"POINT (106.762088 -6.1685371)",POINT (106.7637345 -6.1684753),14690.0,110.0,Kota Jakarta Barat,31730.0,20.0,-6.1685371,106.762088,10.0
"POINT (106.9001035 -6.1514687)",POINT (106.8948838 -6.154139),14700.0,110.0,Kota Jakarta Utara,31720.0,20.0,-6.1514687,106.9001035,10.0
