WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.103897 -6.314835)",POINT (106.103897 -6.314835),15370.0,160.0,Kabupaten Pandeglang,36010.0,20.0,-6.314835,106.103897,10.0
"POINT (106.2522143 -6.5643956)",POINT (106.2522143 -6.5643956),15380.0,160.0,Kabupaten Lebak,36020.0,20.0,-6.5643956,106.2522143,10.0
"POINT (106.6318889 -6.1783056)",POINT (106.6318889 -6.1783056),15390.0,160.0,Kabupaten Tangerang,36030.0,20.0,-6.1783056,106.6318889,10.0
"POINT (106.150299 -6.12009)",POINT (106.150299 -6.12009),15400.0,160.0,Kabupaten Serang,36040.0,20.0,-6.12009,106.150299,10.0
"POINT (106.6318889 -6.1783056)",POINT (106.6318889 -6.1783056),15410.0,160.0,Kota Tangerang,36710.0,20.0,-6.1783056,106.6318889,10.0
"POINT (106.040506 -6.0169825)",POINT (106.040506 -6.0169825),15420.0,160.0,Kota Cilegon,36720.0,20.0,-6.0169825,106.040506,10.0
"POINT (106.150299 -6.12009)",POINT (106.150299 -6.12009),15430.0,160.0,Kota Serang,36730.0,20.0,-6.12009,106.150299,10.0
"POINT (106.7180556 -6.2888889)",POINT (106.7180556 -6.2888889),17680.0,160.0,Kota Tangerang Selatan,36740.0,20.0,-6.2888889,106.7180556,10.0
